experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10
d,clip-large,clap-fused,0,0.7,heldout,0.08695652173913043,0.17391304347826086,0.34782608695652173,0.391304347826087,3,15,0.034782608695652174,0.37527525424957275,0.7672644614901728,0.25237912765004034,0.19010096035459245,0.7672644614901729,0.690809860764974,0.8627481366036046,0.5202718209970871,0.4852469198379908,0.20932962666657925,0.6059222010324534,0.31094219433050785,0.23478260869565218
unsup,clip-large,clap-fused,0,1.0,aggregate,0.01,0.0275,0.045,0.0825,6,15,0.085,0.6492103934288025,0.35166436640184423,0.2744415933493562,0.154912719857222,0.35166436640184423,0.3529384188918537,0.35039947908741975,0.23665419142258062,0.23396951130487714,0.21744189226661895,0.38759736589986515,0.019212299155961676,0.09825
unsup,clip-large,clap-fused,0,1.0,heldout,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.08695652173913043,2,15,0.08695652173913043,0.35271430015563965,0.7571742708632717,0.028862697118394443,0.021713265913146935,0.7571742708632717,0.7184338077716989,0.8003309121984489,0.2198259894856434,0.2108195747857971,0.20932962666657925,0.6059222010324534,0.010496362819064159,0.15217391304347824
text,clip-large,clap-fused,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,2,15,0.0435,0.29838818311691284,0.25250361845705455,0.16503586505814305,0.08256351155908788,0.2525036184570545,0.2501848122752574,0.25486580987100577,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272,0.16524999999999998
text,clip-large,clap-fused,0,nan,heldout,0.13043478260869565,0.17391304347826086,0.21739130434782608,0.34782608695652173,4,15,0.043478260869565216,0.21857678890228271,0.8363089413424362,0.3329622691107063,0.2722914669223394,0.8363089413424363,0.7976500640817853,0.8789059639122928,0.6059222010324534,0.310580397597254,0.20932962666657925,0.6059222010324534,0.39659257436587414,0.1826086956521739
random,clip-large,clap-fused,0,nan,aggregate,0.0,0.01,0.025,0.04,0,15,0.012000000000000002,0.004409068264067173,0.11994103254086633,0.015050389029398387,0.007445356492740301,0.11994103254086631,0.12186513736296764,0.1180767419530407,0.20074966403018457,0.2182743484366396,0.21744189226661895,0.38759736589986515,-0.016692228236434375,0.06849999999999999
random,clip-large,clap-fused,0,nan,heldout,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,4,15,0.017391304347826087,-0.02599593997001648,0.6751677496515183,-0.07252851195223149,-0.05747126436781609,0.6751677496515183,0.6127476896143018,0.7517476071826164,0.18933322588998389,0.2056024991254915,0.20932962666657925,0.6059222010324534,-0.01999640077659537,0.05217391304347827
procrustes,clip-large,clap-fused,300,nan,aggregate,0.4575,0.5875,0.64,0.7075,0,15,0.1045,0.41704627871513367,0.2856280070111088,0.20103576651583585,0.0995935241661425,0.2856280070111088,0.2684856006259176,0.30510874682571915,0.339493068718816,0.2305742422499111,0.21744189226661895,0.38759736589986515,0.12205117645219707,0.25049999999999994
procrustes,clip-large,clap-fused,300,nan,heldout,0.0,0.0,0.0,0.0,4,15,0.15652173913043482,0.6017348766326904,0.6639917494289336,0.22323417307754254,0.12968696250429995,0.6639917494289336,0.5314576974255372,0.8845891445909005,0.2578546193826631,0.21633716296956843,0.20932962666657925,0.6059222010324534,0.04852499271608382,0.1391304347826087
direct,clip-large,clap-fused,300,nan,aggregate,0.325,0.48,0.5775,0.685,0,15,0.1015,0.42399460077285767,0.2978078981429055,0.21682942836581934,0.11764545444184536,0.2978078981429054,0.2794717727088031,0.31871903391698986,0.33351203773609384,0.23285728124832775,0.21744189226661895,0.38759736589986515,0.11607014546947489,0.29925
